timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-01-17,1.00282710,1.03722125,1.00041574,1.00185581,1.00282710,1.03722125,1.00041574,1.00185581,144278997.85513288,144546751.65802696
2018-01-16,1.00060348,1.00310357,1.00050827,1.00293884,1.00060348,1.00310357,1.00050827,1.00293884,115142398.96427625,115480784.09316894
2018-01-15,1.00151015,1.00197997,1.00045723,1.00068617,1.00151015,1.00197997,1.00045723,1.00068617,71083072.65629095,71131847.47429740
2018-01-14,1.00095485,1.01194329,1.00067399,1.00136538,1.00095485,1.01194329,1.00067399,1.00136538,52128329.18437964,52199503.93761243
2018-01-13,1.00031543,1.00095390,1.00024766,1.00095390,1.00031543,1.00095390,1.00024766,1.00095390,39944880.85335238,39982984.20783614
2018-01-12,1.00064619,1.00071885,1.00031578,1.00031578,1.00064619,1.00071885,1.00031578,1.00031578,59930007.96344133,59948932.40906123
2018-01-11,1.00041650,1.00115473,1.00028347,1.00063643,1.00041650,1.00115473,1.00028347,1.00063643,78648213.92410067,78698267.99956492
2018-01-10,1.00073714,1.00098399,1.00022173,1.00032137,1.00073714,1.00098399,1.00022173,1.00032137,79493765.64130595,79519312.93636034
2018-01-09,1.00064287,1.00083487,1.00040452,1.00069301,1.00064287,1.00083487,1.00040452,1.00069301,58551174.35224556,58591750.95018401
2018-01-08,1.00056493,1.00068369,0.99970652,1.00065235,1.00056493,1.00068369,0.99970652,1.00065235,97697443.31275167,97761175.96954134
2018-01-07,1.00074622,1.00115474,1.00043238,1.00062745,1.00074622,1.00115474,1.00043238,1.00062745,36715017.38784186,36738054.33891257
2018-01-06,1.00048611,1.00089382,1.00006003,1.00086302,1.00048611,1.00089382,1.00006003,1.00086302,37932847.96019976,37965584.87716636
2018-01-05,1.00060106,1.00090686,1.00026750,1.00069482,1.00060106,1.00090686,1.00026750,1.00069482,70451350.31549348,70500301.10158674
2018-01-04,1.00027480,1.00070287,1.00019525,1.00058583,1.00027480,1.00070287,1.00019525,1.00058583,91675002.19923837,91728708.19180518
2018-01-03,1.00049582,1.00071095,1.00028848,1.00029723,1.00049582,1.00071095,1.00028848,1.00029723,92587012.63433225,92614532.09379011
2018-01-02,1.00062427,1.00126477,1.00033540,1.00049644,1.00062427,1.00126477,1.00033540,1.00049644,81059363.07558036,81099604.16725424
2018-01-01,1.00089700,1.00120794,1.00045794,1.00063211,1.00089700,1.00120794,1.00045794,1.00063211,36389208.58425293,36412210.47256992
2017-12-31,1.00132799,1.00181057,1.00075072,1.00089015,1.00132799,1.00181057,1.00075072,1.00089015,36635454.06890104,36668065.04649846
2017-12-30,1.00066278,1.00214019,1.00059725,1.00131923,1.00066278,1.00214019,1.00059725,1.00131923,86242759.88826533,86356533.58406951
2017-12-29,1.00155686,1.00189235,1.00056001,1.00066043,1.00155686,1.00189235,1.00056001,1.00066043,64928227.43053168,64971108.04422170
2017-12-28,1.00047965,1.00192909,1.00027611,1.00153096,1.00047965,1.00192909,1.00027611,1.00153096,87919163.88881458,88053764.73307319
2017-12-27,1.00047515,1.00082260,1.00005643,1.00044598,1.00047515,1.00082260,1.00005643,1.00044598,70349062.09829234,70380436.55641532
2017-12-26,1.00094121,1.00203685,1.00018313,1.00042176,1.00094121,1.00203685,1.00018313,1.00042176,46129929.78378253,46149385.49222071
2017-12-25,1.00122783,1.00148810,1.00052018,1.00089963,1.00122783,1.00148810,1.00052018,1.00089963,49151606.59856211,49195825.00261193
2017-12-24,1.00113067,1.00212999,1.00054296,1.00120401,1.00113067,1.00212999,1.00054296,1.00120401,89260724.78403355,89368195.42021279
2017-12-23,1.00234153,1.00479440,1.00076139,1.00105862,1.00234153,1.00479440,1.00076139,1.00105862,74012498.15774558,74090849.02663085
2017-12-22,0.99992629,1.00409983,0.99958917,1.00252255,0.99992629,1.00409983,0.99958917,1.00252255,55625485.21267915,55765803.28474794
2017-12-21,0.99976374,1.00003553,0.99882557,0.99991381,0.99976374,1.00003553,0.99882557,0.99991381,81889465.41432610,81882407.28754698
2017-12-20,1.00047960,1.00060027,0.99950599,0.99976875,1.00047960,1.00060027,0.99950599,0.99976875,34911616.06476739,34903542.85436175
2017-12-19,0.99992587,1.00093203,0.99964341,1.00047950,0.99992587,1.00093203,0.99964341,1.00047950,70589447.65017419,70623295.51247612
2017-12-18,0.99992155,1.00034412,0.99985073,0.99995637,0.99992155,1.00034412,0.99985073,0.99995637,54411476.29117861,54409102.31071180
2017-12-17,1.00016289,1.00017869,0.99970087,0.99988246,1.00016289,1.00017869,0.99970087,0.99988246,63573097.29870271,63565625.16492361
2017-12-16,1.00004227,1.00029096,1.00004151,1.00017350,1.00004227,1.00029096,1.00004151,1.00017350,37392605.66694545,37399093.45945244
2017-12-15,1.00007857,1.00028596,1.00002627,1.00004234,1.00007857,1.00028596,1.00002627,1.00004234,90135263.83892128,90139080.15720747
2017-12-14,1.00027551,1.00084800,1.00005938,1.00008541,1.00027551,1.00084800,1.00005938,1.00008541,76186825.90176575,76193332.84954453
2017-12-13,1.01973566,1.02963850,1.00026446,1.00027561,1.01973566,1.02963850,1.00026446,1.00027561,51669639.98192759,51683880.69976226
2017-12-12,1.00028227,1.02342684,1.00005988,1.01928197,1.00028227,1.02342684,1.00005988,1.01928197,1788805.88812097,1823297.58899202
2017-12-11,1.00009901,1.00079321,1.00001137,1.00027501,1.00009901,1.00079321,1.00001137,1.00027501,24903390.92046549,24910239.58664122
2017-12-10,1.00004344,1.00036732,1.00004344,1.00008725,1.00004344,1.00036732,1.00004344,1.00008725,42529198.69987646,42532909.35385683
